track_name,artist
Yaen Ennai Pirindhaai,Sid Sriram
The Memory Remains,"Metallica, Marianne Faithfull"
Maula Maula,"Kunal Ganjawala, Richa Sharma"
Sang Rahiyo,Jasleen Royal
Ondu Maathali,Sanjith Hegde
Surili Akhiyon Wale,"Rahat Fateh Ali Khan, Suzanne D'Mello"
Matthe Maleyagide,"Sonu Nigam, Shreya Ghoshal"
"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]","Mithoon, Arijit Singh"
Pagal,Gurnam Bhullar
Long time no see,"Taimour Baig, Raffey Anwar, AUR"
